AS16-M-0104|105:59:45|76.2|87|CSM|Vertical||Rev 17|Mare Smythii|Mapping|3400|
AS16-M-0105|106:00:12|76.2|85|CSM|Vertical||Rev 17|Mare Smythii|Mapping|3400|
AS16-M-0106|106:00:39|76.2|85|CSM|Vertical||Rev 17|Mare Smythii|Mapping|3400|
AS16-M-0107|106:01:06|76.2|84|CSM|Vertical||Rev 17|Mare Smythii|Mapping|3400|
AS16-M-0108|106:01:34|76.2|83|CSM|Vertical||Rev 17|Mare Smythii, Gilbert U|Mapping|3400|
AS16-M-0109|106:02:01|76.2|81|CSM|Vertical||Rev 17|Gilbert U, Kastner G|Mapping|3400|
AS16-M-0110|106:02:28|76.2|80|CSM|Vertical||Rev 17|Gilbert M & U, Kastner G|Mapping|3400|
AS16-M-0111|106:02:55|76.2|79|CSM|Vertical||Rev 17|Gilbert, M & U, Kastner G|Mapping|3400|
AS16-M-0112|106:03:22|76.2|78|CSM|Vertical||Rev 17|Kastner, A & G, Gilbert|Mapping|3400|
AS16-M-0113|106:03:49|76.2|77|CSM|Vertical||Rev 17|Kastner, A & G, Gilbert|Mapping|3400|
AS16-M-0114|106:04:16|76.2|75|CSM|Vertical||Rev 17|Kastner, A & G, Gilbert|Mapping|3400|
AS16-M-0115|106:04:44|76.2|74|CSM|Vertical||Rev 17|Kastner, A, Gilbert, K & J|Mapping|3400|
AS16-M-0116|106:05:11|76.2|73|CSM|Vertical||Rev 17|Gilbert, K & J|Mapping|3400|
AS16-M-0117|106:05:38|76.2|71|CSM|Vertical||Rev 17|Gilbert, K & J, Maclaurin B & F|Mapping|3400|
AS16-M-0118|106:06:05|76.2|70|CSM|Vertical||Rev 17|Gilbert, K & J, Maclaurin B & F|Mapping|3400|
AS16-M-0119|106:06:32|76.2|69|CSM|Vertical||Rev 17|Maclaurin B & F|Mapping|3400|
AS16-M-0120|106:06:59|76.2|68|CSM|Vertical||Rev 17|Maclaurin B, M & A|Mapping|3400|
AS16-M-0121|106:07:24|76.2|66|CSM|Vertical||Rev 17|Maclaurin A, E & U|Mapping|3400|
AS16-M-0122|106:07:49|76.2|65|CSM|Vertical||Rev 17|Maclaurin U, Langrenus T|Mapping|3400|
AS16-M-0123|106:08:14|76.2|64|CSM|Vertical||Rev 17|Langrenus, T|Mapping|3400|
AS16-M-0124|106:08:39|76.2|63|CSM|Vertical||Rev 17|Langrenus, T & C|Mapping|3400|
AS16-M-0125|106:09:04|76.2|62|CSM|Vertical||Rev 17|Langrenus, T & C|Mapping|3400|
AS16-M-0126|106:09:29|76.2|60|CSM|Vertical||Rev 17|Langrenus, T, C, K & B|Mapping|3400|
AS16-M-0127|106:09:54|76.2|59|CSM|Vertical||Rev 17|Langrenus, C, F, K & B|Mapping|3400|
AS16-M-0128|106:10:19|76.2|57|CSM|Vertical||Rev 17|Langrenus, C, F, K & B|Mapping|3400|
AS16-M-0129|106:10:44|76.2|56|CSM|Vertical||Rev 17|Langrenus, F, K & B|Mapping|3400|
AS16-M-0130|106:11:09|76.2|55|CSM|Vertical||Rev 17|Langrenus F, K & B, Messier G|Mapping|3400|
AS16-M-0131|106:11:34|76.2|54|CSM|Vertical||Rev 17|Langrenus F, Messier G|Mapping|3400|
AS16-M-0132|106:11:59|76.2|52|CSM|Vertical||Rev 17|Goclenius A, Messier G|Mapping|3400|
AS16-M-0133|106:12:24|76.2|51|CSM|Vertical||Rev 17|Goclenius A, Messier G|Mapping|3400|
AS16-M-0134|106:12:49|76.2|50|CSM|Vertical||Rev 17|Goclenius A, Messier G|Mapping|3400|
AS16-M-0135|106:13:14|76.2|49|CSM|Vertical||Rev 17|Goclenius, A|Mapping|3400|
AS16-M-0136|106:13:40|76.2|48|CSM|Vertical||Rev 17|Goclenius|Mapping|3400|
AS16-M-0137|106:14:05|76.2|46|CSM|Vertical||Rev 17|Goclenius, Rimae Goclenius|Mapping|3400|
AS16-M-0138|106:14:30|76.2|45|CSM|Vertical||Rev 17|Goclenius, Rimae Goclenius, Gutenberg|Mapping|3400|
AS16-M-0139|106:14:55|76.2|44|CSM|Vertical||Rev 17|Goclenius, Rimae Goclenius, Gutenberg|Mapping|3400|
AS16-M-0140|106:15:20|76.2|42|CSM|Vertical||Rev 17|Goclenius, Rimae Goclenius, Gutenberg|Mapping|3400|
AS16-M-0141|106:15:45|76.2|41|CSM|Vertical||Rev 17|Goclenius, Rimae Goclenius, Gutenberg|Mapping|3400|
AS16-M-0142|106:16:10|76.2|40|CSM|Vertical||Rev 17|Guernberg, G|Mapping|3400|
AS16-M-0143|106:16:35|76.2|39|CSM|Vertical||Rev 17|Gutenberg, G|Mapping|3400|
AS16-M-0144|106:17:00|76.2|37|CSM|Vertical||Rev 17|Gutenberg G, Capella|Mapping|3400|
AS16-M-0145|106:17:25|76.2|36|CSM|Vertical||Rev 17|Isidorus, Capella|Mapping|3400|
AS16-M-0146|106:17:50|76.2|35|CSM|Vertical||Rev 17|Isidorus, Capella|Mapping|3400|
AS16-M-0147|106:18:15|76.2|34|CSM|Vertical||Rev 17|Isidorus, Capella|Mapping|3400|
AS16-M-0148|106:18:40|76.2|33|CSM|Vertical||Rev 17|Isidorus, Capella|Mapping|3400|
AS16-M-0149|106:19:06|76.2|32|CSM|Vertical||Rev 17|Isidorus, Madler|Mapping|3400|
AS16-M-0150|106:19:31|76.2|30|CSM|Vertical||Rev 17|Theophilus, Madler|Mapping|3400|
AS16-M-0151|106:19:56|76.2|29|CSM|Vertical||Rev 17|Theophilus, Madler|Mapping|3400|
AS16-M-0152|106:20:21|76.2|28|CSM|Vertical||Rev 17|Theophilus, Madler|Mapping|3400|
AS16-M-0153|106:20:46|76.2|26|CSM|Vertical||Rev 17|Theophilus, Cyrillus|Mapping|3400|
AS16-M-0154|106:21:11|76.2|25|CSM|Vertical||Rev 17|Theophilus, Cyrillus|Mapping|3400|
AS16-M-0155|106:21:36|76.2|23|CSM|Vertical||Rev 17|Theophilus, Cyrillus, B|Mapping|3400|
AS16-M-0156|106:22:01|76.2|22|CSM|Vertical||Rev 17|Kant, E, Zollner F|Mapping|3400|
AS16-M-0157|106:22:26|76.2|21|CSM|Vertical||Rev 17|Kant, E, Zollner, F|Mapping|3400|
AS16-M-0158|106:22:51|76.2|20|CSM|Vertical||Rev 17|Kant, E & D, Zollner|Mapping|3400|
AS16-M-0159|106:23:17|76.2|19|CSM|Vertical||Rev 17|Kant, E & D, Zollner|Mapping|3400|
AS16-M-0160|106:23:42|76.2|18|CSM|Vertical||Rev 17|Descartes, Apollo 16 Landing Site|Mapping|3400|
AS16-M-0161|106:24:07|76.2|16|CSM|Vertical||Rev 17|Descartes, Apollo 16 Landing Site|Mapping|3400|
AS16-M-0162|106:24:32|76.2|14|CSM|Vertical||Rev 17|Descartes, Apollo 16 Landing Site|Mapping|3400|
AS16-M-0163|106:24:57|76.2|13|CSM|Vertical||Rev 17|Descartes, Apollo 16 Landing Site|Mapping|3400|
AS16-M-0164|106:25:22|76.2|12|CSM|Vertical||Rev 17|Andel, Dolland, B & C|Mapping|3400|
AS16-M-0165|106:25:47|76.2|11|CSM|Vertical||Rev 17|Andel, Dolland C|Mapping|3400|
AS16-M-0166|106:26:12|76.2|10|CSM|Vertical||Rev 17|Hind, Ritchey, Andel|Mapping|3400|
AS16-M-0167|106:26:38|76.2|8|CSM|Vertical||Rev 17|Hind, Ritchey, Andel|Mapping|3400|
AS16-M-0168|106:27:03|76.2|7|CSM|Vertical||Rev 17|Hind, Richey, Halley|Mapping|3400|
AS16-M-0169|106:27:28|76.2|6|CSM|Vertical||Rev 17|Albategnius, Halley, Hind|Mapping|3400|
AS16-M-0170|106:27:53|76.2|5|CSM|Vertical||Rev 17|Albetegnius, Halley|Mapping|3400|
AS16-M-0171|106:28:18|76.2|3|CSM|Vertical||Rev 17|Albetegnius, Mueller|Mapping|3400|
AS16-M-0172|106:28:43|76.2|2|CSM|Vertical||Rev 17|Albategnius, Ptolemaeus|Mapping|3400|
AS16-M-0173|106:29:08|76.2|1|CSM|Vertical||Rev 17|Ptolemaeus|Mapping|3400|
