skip (GET)|LPI filename|ALSJ filename|media.apolloinrealtime.org filename|Description|Source
122:13:12|AS16-113-18355|||ALSEP, pan|NASA
122:13:14|AS16-113-18356|||ALSEP, pan|NASA
122:13:16|AS16-113-18357|||ALSEP, pan|NASA
122:13:48|AS16-113-18358|||ALSEP, pan|NASA
122:13:53|AS16-113-18359|||ALSEP, pan|NASA
122:13:57|AS16-113-18360|||ALSEP, pan|NASA
122:14:03|AS16-113-18361|||ALSEP, pan|NASA
122:14:07|AS16-113-18362|||ALSEP, pan|NASA
122:14:15|AS16-113-18363|||ALSEP, pan|NASA
122:14:22|AS16-113-18364|||ALSEP, pan|NASA
122:14:35|AS16-113-18365|||ALSEP, pan|NASA
122:14:42|AS16-113-18366|||ALSEP, pan|NASA
122:14:47|AS16-113-18367|||ALSEP, pan|NASA
122:14:52|AS16-113-18368|||ALSEP, pan|NASA
122:14:58|AS16-113-18369|||ALSEP, pan|NASA
122:15:03|AS16-113-18370|||ALSEP, pan|NASA
122:15:18|AS16-113-18371|||ALSEP, radiothermal generator|NASA
122:15:54|AS16-113-18372|||ALSEP, magnetometer|NASA
122:21:30|AS16-113-18373|||ALSEP, magnetometer|NASA
122:21:40|AS16-113-18374|||ALSEP, magnetometer|NASA
122:23:01|AS16-113-18375|||ALSEP, central station|NASA
122:42:28|AS16-113-18376|||ALSEP, mortar box|NASA
122:42:38|AS16-113-18377|||ALSEP, mortar box|NASA
122:42:55|AS16-113-18378|||ALSEP, mortar box|NASA
122:43:03|AS16-113-18379|||ALSEP, mortar box|NASA
122:43:18|AS16-113-18380|||ALSEP, mortar box|NASA
122:43:49|AS16-113-18381|||ALSEP, thumper imprint|NASA
122:43:56|AS16-113-18382|||ALSEP, thumper imprint|NASA
122:49:48|AS16-109-17746|||EVA-1, ALSEP, LRV closeup|NASA
122:58:20|AS16-109-17747|||EVA-1, LRV traverse, ALSEP to station 1|NASA
122:58:28|AS16-109-17748|||EVA-1, LRV traverse, ALSEP to station 1|NASA
122:59:10|AS16-109-17749|||EVA-1, LRV traverse, ALSEP to station 1|NASA
122:59:37|AS16-109-17750|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:00:12|AS16-109-17751|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:00:40|AS16-109-17752|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:01:02|AS16-109-17753|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:01:12|AS16-109-17754|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:01:23|AS16-109-17755|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:01:46|AS16-109-17756|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:02:34|AS16-109-17757|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:03:26|AS16-109-17758|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:03:50|AS16-109-17759|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:04:53|AS16-109-17760|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:05:35|AS16-109-17761|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:06:23|AS16-109-17762|||EVA-1, LRV traverse, ALSEP to station 1|NASA
123:06:54|AS16-109-17763|||EVA-1, LRV traverse, ALSEP to station 1|NASA
