skip (GET)|LPI filename|ALSJ filename|media.apolloinrealtime.org filename|Description|Source
166:36:37|AS16-111-18157|||EVA-3, LRV traverse from LM to station 11|NASA
166:36:49|AS16-111-18158|||EVA-3, LRV traverse from LM to station 11|NASA
166:36:57|AS16-111-18159|||EVA-3, LRV traverse from LM to station 11|NASA
166:37:21|AS16-111-18160|||EVA-3, LRV traverse from LM to station 11|NASA
166:37:27|AS16-111-18161|||EVA-3, LRV traverse from LM to station 11|NASA
166:37:37|AS16-111-18162|||EVA-3, LRV traverse from LM to station 11|NASA
166:37:46|AS16-111-18163|||EVA-3, LRV traverse from LM to station 11|NASA
166:37:50|AS16-111-18164|||EVA-3, LRV traverse from LM to station 11|NASA
166:37:54|AS16-111-18165|||EVA-3, LRV traverse from LM to station 11|NASA
166:38:01|AS16-111-18166|||EVA-3, LRV traverse from LM to station 11|NASA
166:38:08|AS16-111-18167|||EVA-3, LRV traverse from LM to station 11|NASA
166:38:14|AS16-111-18168|||EVA-3, LRV traverse from LM to station 11|NASA
166:38:17|AS16-111-18169|||EVA-3, LRV traverse from LM to station 11|NASA
166:38:42|AS16-111-18170|||EVA-3, LRV traverse from LM to station 11|NASA
166:38:54|AS16-111-18171|||EVA-3, LRV traverse from LM to station 11|NASA
166:39:06|AS16-111-18172|||EVA-3, LRV traverse from LM to station 11|NASA
166:39:21|AS16-111-18173|||EVA-3, LRV traverse from LM to station 11|NASA
166:39:35|AS16-111-18174|||EVA-3, LRV traverse from LM to station 11|NASA
166:39:55|AS16-111-18175|||EVA-3, LRV traverse from LM to station 11|NASA
166:40:10|AS16-111-18176|||EVA-3, LRV traverse from LM to station 11|NASA
166:40:20|AS16-111-18177|||EVA-3, LRV traverse from LM to station 11|NASA
166:46:29|AS16-111-18178|||EVA-3, LRV traverse from LM to station 11|NASA
166:40:43|AS16-111-18179|||EVA-3, LRV traverse from LM to station 11|NASA
166:41:00|AS16-111-18180|||EVA-3, LRV traverse from LM to station 11|NASA
166:41:17|AS16-111-18181|||EVA-3, LRV traverse from LM to station 11|NASA
166:41:41|AS16-111-18182|||EVA-3, LRV traverse from LM to station 11|NASA
166:41:50|AS16-111-18183|||EVA-3, LRV traverse from LM to station 11|NASA
166:42:00|AS16-111-18184|||EVA-3, LRV traverse from LM to station 11|NASA
166:42:11|AS16-111-18185|||EVA-3, LRV traverse from LM to station 11|NASA
166:42:21|AS16-111-18186|||EVA-3, LRV traverse from LM to station 11|NASA
166:42:39|AS16-111-18187|||EVA-3, LRV traverse from LM to station 11|NASA
166:42:44|AS16-111-18188|||EVA-3, LRV traverse from LM to station 11|NASA
166:42:48|AS16-111-18189|||EVA-3, LRV traverse from LM to station 11|NASA
166:43:01|AS16-111-18190|||EVA-3, LRV traverse from LM to station 11|NASA
166:43:13|AS16-111-18191|||EVA-3, LRV traverse from LM to station 11|NASA
166:43:27|AS16-111-18192|||EVA-3, LRV traverse from LM to station 11|NASA
143:05:03|AS-16-107-17419|||EVA-2, smeared image, lunar surface|NASA
143:13:24|AS-16-107-17420|||EVA-2, LM, pan from north of the LM|NASA
143:13:27|AS-16-107-17421|||EVA-2, LM, pan from north of the LM|NASA
143:13:29|AS-16-107-17422|||EVA-2, LM, pan from north of the LM|NASA
143:13:32|AS-16-107-17423|||EVA-2, LM, pan from north of the LM|NASA
143:13:35|AS-16-107-17424|||EVA-2, LM, pan from north of the LM|NASA
143:13:38|AS-16-107-17425|||EVA-2, LM, pan from north of the LM|NASA
143:13:41|AS-16-107-17426|||EVA-2, LM, pan from north of the LM|NASA
143:13:44|AS-16-107-17427|||EVA-2, LM, pan from north of the LM|NASA
143:13:47|AS-16-107-17428|||EVA-2, LM, pan from north of the LM|NASA
143:13:51|AS-16-107-17429|||EVA-2, LM, pan from north of the LM|NASA
143:13:54|AS-16-107-17430|||EVA-2, LM, pan from north of the LM|NASA
143:13:57|AS-16-107-17431|||EVA-2, LM, pan from north of the LM|NASA
143:14:00|AS-16-107-17432|||EVA-2, LM, pan from north of the LM|NASA
143:14:04|AS-16-107-17433|||EVA-2, LM, pan from north of the LM|NASA
143:14:07|AS-16-107-17434|||EVA-2, LM, pan from north of the LM|NASA
143:14:10|AS-16-107-17435|||EVA-2, LM, pan from north of the LM|NASA
143:14:13|AS-16-107-17436|||EVA-2, LM, pan from north of the LM|NASA
143:14:16|AS-16-107-17437|||EVA-2, LM, pan from north of the LM|NASA
143:14:20|AS-16-107-17438|||EVA-2, LM, pan from north of the LM|NASA
143:14:23|AS-16-107-17439|||EVA-2, LM, pan from north of the LM|NASA
143:14:25|AS-16-107-17440|||EVA-2, LM, pan from north of the LM|NASA
143:16:03|AS-16-107-17441|||EVA-2, LM, cosmic ray experiment|NASA
143:16:12|AS-16-107-17442|||EVA-2, LM, cosmic ray experiment|NASA
144:15:48|AS-16-107-17443|||EVA-2, station 4, sample, 394 rock|NASA
144:15:54|AS-16-107-17444|||EVA-2, station 4, sample, 394 rock|NASA
144:16:48|AS-16-107-17445|||EVA-2, station 4, sample, 394 rock|NASA
144:16:51|AS-16-107-17446|||EVA-2, station 4, sample, 394 rock|NASA
144:19:12|AS-16-107-17447|||EVA-2, station 4, sample, 394 rock|NASA
144:20:41|AS-16-107-17448|||EVA-2, station 4, samples 395 & 396 rake|NASA
144:20:46|AS-16-107-17449|||EVA-2, station 4, samples 395 & 396 rake|NASA
144:23:03|AS-16-107-17450|||EVA-2, station 4, samples 395 & 396 rake|NASA
144:26:18|AS-16-107-17451|||EVA-2, station 4, sample 398 rock|NASA
144:26:22|AS-16-107-17452|||EVA-2, station 4, sample 398 rock|NASA
144:26:45|AS-16-107-17453|||EVA-2, station 4, sample 398 rock|NASA
144:26:52|AS-16-107-17454|||EVA-2, station 4, sample 398 rock|NASA
144:29:03|AS-16-107-17455|||EVA-2, station 4, sample 397 glass|NASA
144:29:07|AS-16-107-17456|||EVA-2, station 4, sample 397 glass|NASA
144:35:09|AS-16-107-17457|||EVA-2, station 4, sample 398 rock|NASA
144:36:42|AS-16-107-17458|||EVA-2, station 4, sample 399 soil|NASA
144:36:46|AS-16-107-17459|||EVA-2, station 4, sample 399 soil|NASA
144:38:21|AS-16-107-17460|||EVA-2, station 4, sample 399 soil|NASA
144:38:25|AS-16-107-17461|||EVA-2, station 4, sample 399 soil|NASA
144:38:42|AS-16-107-17462|||EVA-2, station 4, sample 399 soil|NASA
144:44:28|AS-16-107-17463|||EVA-2, station 4, sample 400 soil|NASA
144:44:35|AS-16-107-17464|||EVA-2, station 4, sample 400 soil|NASA
144:47:45|AS-16-107-17465|||EVA-2, station 4, samples 400 soil, 401 rake|NASA
144:47:49|AS-16-107-17466|||EVA-2, station 4, samples 400 soil, 401 rake|NASA
144:48:14|AS-16-107-17467|||EVA-2, station 4, pan|NASA
144:48:17|AS-16-107-17468|||EVA-2, station 4, pan|NASA
144:48:20|AS-16-107-17469|||EVA-2, station 4, pan|NASA
144:48:23|AS-16-107-17470|||EVA-2, station 4, pan|NASA
144:48:27|AS-16-107-17471|||EVA-2, station 4, pan|NASA
144:48:35|AS-16-107-17472|||EVA-2, station 4, pan|NASA
144:48:38|AS-16-107-17473|||EVA-2, station 4, pan|NASA
144:48:42|AS-16-107-17474|||EVA-2, station 4, pan|NASA
144:48:45|AS-16-107-17475|||EVA-2, station 4, pan|NASA
144:48:48|AS-16-107-17476|||EVA-2, station 4, pan|NASA
144:48:51|AS-16-107-17477|||EVA-2, station 4, pan|NASA
144:48:54|AS-16-107-17478|||EVA-2, station 4, pan|NASA
144:48:57|AS-16-107-17479|||EVA-2, station 4, pan|NASA
144:49:05|AS-16-107-17480|||EVA-2, station 4, pan|NASA
144:49:13|AS-16-107-17481|||EVA-2, station 4, pan|NASA
144:49:15|AS-16-107-17482|||EVA-2, station 4, pan|NASA
144:49:17|AS-16-107-17483|||EVA-2, station 4, pan|NASA
144:49:19|AS-16-107-17484|||EVA-2, station 4, pan|NASA
144:49:21|AS-16-107-17485|||EVA-2, station 4, pan|NASA
144:49:23|AS-16-107-17486|||EVA-2, station 4, pan|NASA
144:49:25|AS-16-107-17487|||EVA-2, station 4, pan|NASA
144:49:27|AS-16-107-17488|||EVA-2, station 4, pan|NASA
144:49:29|AS-16-107-17489|||EVA-2, station 4, pan|NASA
144:54:22|AS-16-107-17490|||EVA-2, station 4, sample 401 rake|NASA
144:54:26|AS-16-107-17491|||EVA-2, station 4, sample 401 rake|NASA
145:17:50|AS-16-107-17492|||EVA-2, station 5, samples 332 rake, 333 soil|NASA
145:17:55|AS-16-107-17493|||EVA-2, station 5, samples 332 rake, 333 soil|NASA
145:20:35|AS-16-107-17494|||EVA-2, station 5, samples 332 rake, 333 soil|NASA
145:20:40|AS-16-107-17495|||EVA-2, station 5, samples 332 rake, 333 soil|NASA
145:23:13|AS-16-107-17496|||EVA-2, station 5, samples 334 rake, 402 soil|NASA
145:23:16|AS-16-107-17497|||EVA-2, station 5, samples 334 rake, 402 soil|NASA
145:24:25|AS-16-107-17498|||EVA-2, station 5, samples 334 rake, 402 soil|NASA
145:25:31|AS-16-107-17499|||EVA-2, station 5, samples 334 rake, 402 soil|NASA
145:28:19|AS-16-107-17500|||EVA-2, station 5, sample 403 rake|NASA
145:28:38|AS-16-107-17501|||EVA-2, station 5, sample 403 rake|NASA
145:28:43|AS-16-107-17502|||EVA-2, station 5, sample 403 rake|NASA
145:31:48|AS-16-107-17503|||EVA-2, station 5, samples 404 & 405 rake|NASA
145:32:37|AS-16-107-17504|||EVA-2, station 5, samples 404 & 405 rake|NASA
145:34:32|AS-16-107-17505|||EVA-2, station 5, samples 404 & 405 rake|NASA
145:34:35|AS-16-107-17506|||EVA-2, station 5, samples 404 & 405 rake|NASA
145:34:38|AS-16-107-17507|||EVA-2, station 5, samples 404 & 405 rake|NASA
145:40:38|AS-16-107-17508|||EVA-2, station 5, samples 335 rake, 406 soil, one rock|NASA
145:40:41|AS-16-107-17509|||EVA-2, station 5, samples 335 rake, 406 soil, one rock|NASA
145:45:55|AS-16-107-17510|||EVA-2, station 5, lunar portable magnetometer cable|NASA
145:46:02|AS-16-107-17511|||EVA-2, station 5, lunar portable magnetometer behind LRV|NASA
146:14:02|AS-16-107-17512|||EVA-2, station 6, samples 407 scoop, 408 rock, 338 soil|NASA
146:14:05|AS-16-107-17513|||EVA-2, station 6, samples 407 scoop, 408 rock, 338 soil|NASA
146:14:50|AS-16-107-17514|||EVA-2, station 6, samples 407 scoop, 408 rock, 338 soil|NASA
146:15:09|AS-16-107-17515|||EVA-2, station 6, samples 407 scoop, 408 rock, 338 soil|NASA
146:15:39|AS-16-107-17516|||EVA-2, station 6, samples 407 scoop, 408 rock, 338 soil|NASA
146:16:28|AS-16-107-17517|||EVA-2, station 6, samples 407 scoop, 408 rock, 338 soil|NASA
146:18:12|AS-16-107-17518|||EVA-2, station 6, sample 339 soil|NASA
146:18:15|AS-16-107-17519|||EVA-2, station 6, sample 339 soil|NASA
146:19:35|AS-16-107-17520|||EVA-2, station 6, sample 339 soil|NASA
146:20:39|AS-16-107-17521|||EVA-2, station 6, sample 409 rock|NASA
146:20:43|AS-16-107-17522|||EVA-2, station 6, sample 409 rock|NASA
146:22:21|AS-16-107-17523|||EVA-2, station 6, sample 410 rock|NASA
146:22:25|AS-16-107-17524|||EVA-2, station 6, sample 410 rock|NASA
146:22:38|AS-16-107-17525|||EVA-2, station 6, sample 410 rock|NASA
146:22:48|AS-16-107-17526|||EVA-2, station 6, sample 410 rock|NASA
146:49:15|AS-16-107-17527|||EVA-2, station 8, samples 411 rake, 412 soil|NASA
146:49:19|AS-16-107-17528|||EVA-2, station 8, samples 411 rake, 412 soil|NASA
146:49:39|AS-16-107-17529|||EVA-2, station 8, samples 411 & 412, double core, upper 29, lower 36|NASA
146:49:42|AS-16-107-17530|||EVA-2, station 8, samples 411 rake, 412 soil|NASA
146:55:55|AS-16-107-17531|||EVA-2, station 8, samples 411 rake, 412 soil|NASA
146:56:30|AS-16-107-17532|||EVA-2, station 8, sample 413 rock|NASA
146:56:41|AS-16-107-17533|||EVA-2, station 8, samples 412 soil, 413 rock|NASA
146:56:45|AS-16-107-17534|||EVA-2, station 8, samples 411 rake, 412 soil|NASA
146:57:32|AS-16-107-17535|||EVA-2, station 8, samples 411 rake, 412 soil|NASA
146:57:35|AS-16-107-17536|||EVA-2, station 8, samples 411 rake, 412 soil|NASA
146:57:39|AS-16-107-17537|||EVA-2, station 8, samples 411 rake, 412 soil|NASA
147:09:38|AS-16-107-17538|||EVA-2, station 8, boulder|NASA
147:09:43|AS-16-107-17539|||EVA-2, station 8, boulder|NASA
147:09:48|AS-16-107-17540|||EVA-2, station 8, boulder|NASA
147:12:26|AS-16-107-17541|||EVA-2, station 8, samples 374 fillet, 340 rock|NASA
147:12:43|AS-16-107-17542|||EVA-2, station 8, samples 374 fillet, 340 rock|NASA
147:12:46|AS-16-107-17543|||EVA-2, station 8, samples 374 fillet, 340 rock|NASA
147:13:12|AS-16-107-17544|||EVA-2, station 8, samples 374 fillet, 340 rock|NASA
147:13:55|AS-16-107-17545|||EVA-2, station 8, samples 374 fillet, 340 rock|NASA
147:13:58|AS-16-107-17546|||EVA-2, station 8, samples 374 fillet, 340 rock|NASA
147:15:45|AS-16-107-17547|||EVA-2, station 8, samples 374 fillet, 340 rock|NASA
147:16:36|AS-16-107-17548|||EVA-2, station 8, samples 341 rock, 342 rock|NASA
147:16:40|AS-16-107-17549|||EVA-2, station 8, samples 341 rock, 342 rock|NASA
147:18:47|AS-16-107-17550|||EVA-2, station 8, samples 341 rock, 342 rock|NASA
147:22:22|AS-16-107-17551|||EVA-2, station 8, boulder|NASA
147:22:26|AS-16-107-17552|||EVA-2, station 8, boulder|NASA
147:27:36|AS-16-107-17553|||EVA-2, station 8, boulder closeup|NASA
147:27:40|AS-16-107-17554|||EVA-2, station 8, boulder closeup|NASA
147:30:45|AS-16-107-17555|||EVA-2, station 8, sample 344 scoop|NASA
147:30:50|AS-16-107-17556|||EVA-2, station 8, sample 344 scoop|NASA
147:31:49|AS-16-107-17557|||EVA-2, station 8, sample 344 scoop|NASA
148:05:29|AS-16-107-17558|||EVA-2, station 9, samples 376 scoop, 377 scoop, 378 rock|NASA
148:05:34|AS-16-107-17559|||EVA-2, station 9, samples 376 scoop, 377 scoop, 378 rock|NASA
148:06:01|AS-16-107-17560|||EVA-2, station 9, samples 376 scoop, 377 scoop, 378 rock|NASA
148:07:52|AS-16-107-17561|||EVA-2, station 9, samples 376 scoop, 377 scoop, 378 rock|NASA
148:07:54|AS-16-107-17562|||EVA-2, station 9, samples 376 scoop, 377 scoop, 378 rock|NASA
148:07:56|AS-16-107-17563|||EVA-2, station 9, samples 376 scoop, 377 scoop, 378 rock|NASA
148:09:10|AS-16-107-17564|||EVA-2, station 9, boulder|NASA
148:09:13|AS-16-107-17565|||EVA-2, station 9, boulder|NASA
148:09:23|AS-16-107-17566|||EVA-2, station 9, boulder|NASA
148:09:27|AS-16-107-17567|||EVA-2, station 9, boulder|NASA
148:12:11|AS-16-107-17568|||EVA-2, station 9, boulder|NASA
148:12:14|AS-16-107-17569|||EVA-2, station 9, boulder|NASA
148:12:21|AS-16-107-17570|||EVA-2, station 9, boulder|NASA
148:12:23|AS-16-107-17571|||EVA-2, station 9, boulder|NASA
148:12:55|AS-16-107-17572|||EVA-2, station 9, boulder, sample 378 rock|NASA
148:14:02|AS-16-107-17573|||EVA-2, station 9, samples 379 soil, 380 chip|NASA
148:14:06|AS-16-107-17574|||EVA-2, station 9, samples 379 soil, 380 chip|NASA
148:14:09|AS-16-107-17575|||EVA-2, station 9, samples 379 soil, 380 chip|NASA
148:14:18|AS-16-107-17576|||EVA-2, station 9, samples 379 soil, 380 chip|NASA
148:16:08|AS-16-107-17577|||EVA-2, station 9, samples 379 soil, 380 chip|NASA
148:16:11|AS-16-107-17578|||EVA-2, station 9, samples 379 soil, 380 chip|NASA
148:18:30|AS-16-107-17579|||EVA-2, station 9, samples 379 soil, 380 chip|NASA
148:18:33|AS-16-107-17580|||EVA-2, station 9, samples 379 soil, 380 chip|NASA
148:24:37|AS-16-107-17581|||EVA-2, station 9, front of the LRV|NASA
148:24:39|AS-16-107-17582|||EVA-2, station 9, front of the LRV|NASA
148:24:41|AS-16-107-17583|||EVA-2, station 9, front of the LRV|NASA
145:54:46|AS16-108-17584|||EVA-2, LRV, partial frame|NASA
145:59:00|AS16-108-17585|||EVA-2, LRV traverse, station 5 to station 6|NASA
145:59:11|AS16-108-17586|||EVA-2, LRV traverse, station 5 to station 6|NASA
145:59:21|AS16-108-17587|||EVA-2, LRV traverse, station 5 to station 6|NASA
145:59:41|AS16-108-17588|||EVA-2, LRV traverse, station 5 to station 6|NASA
145:59:48|AS16-108-17589|||EVA-2, LRV traverse, station 5 to station 6|NASA
145:59:58|AS16-108-17590|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:00:16|AS16-108-17591|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:00:21|AS16-108-17592|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:00:56|AS16-108-17593|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:01:26|AS16-108-17594|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:01:48|AS16-108-17595|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:02:08|AS16-108-17596|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:02:28|AS16-108-17597|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:02:54|AS16-108-17598|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:03:13|AS16-108-17599|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:03:51|AS16-108-17600|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:04:03|AS16-108-17601|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:04:16|AS16-108-17602|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:04:22|AS16-108-17603|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:04:34|AS16-108-17604|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:05:28|AS16-108-17605|||EVA-2, LRV traverse, station 5 to station 6|NASA
146:11:13|AS16-108-17606|||EVA-2, station 6, pan|NASA
146:11:16|AS16-108-17607|||EVA-2, station 6, pan|NASA
146:11:18|AS16-108-17608|||EVA-2, station 6, pan|NASA
146:11:20|AS16-108-17609|||EVA-2, station 6, pan|NASA
146:11:22|AS16-108-17610|||EVA-2, station 6, pan|NASA
146:11:24|AS16-108-17611|||EVA-2, station 6, pan|NASA
146:11:26|AS16-108-17612|||EVA-2, station 6, pan|NASA
146:11:29|AS16-108-17613|||EVA-2, station 6, pan|NASA
146:11:31|AS16-108-17614|||EVA-2, station 6, pan|NASA
146:11:33|AS16-108-17615|||EVA-2, station 6, pan|NASA
146:11:35|AS16-108-17616|||EVA-2, station 6, pan|NASA
146:11:38|AS16-108-17617|||EVA-2, station 6, pan|NASA
146:11:40|AS16-108-17618|||EVA-2, station 6, pan|NASA
146:11:42|AS16-108-17619|||EVA-2, station 6, pan|NASA
146:11:44|AS16-108-17620|||EVA-2, station 6, pan|NASA
146:11:47|AS16-108-17621|||EVA-2, station 6, pan|NASA
146:11:49|AS16-108-17622|||EVA-2, station 6, pan|NASA
146:11:52|AS16-108-17623|||EVA-2, station 6, pan|NASA
146:11:55|AS16-108-17624|||EVA-2, station 6, pan|NASA
146:11:58|AS16-108-17625|||EVA-2, station 6, pan|NASA
146:12:01|AS16-108-17626|||EVA-2, station 6, pan|NASA
146:13:53|AS16-108-17627|||EVA-2, station 6, samples 407 soil, 408 rock, 338 soil|NASA
146:18:05|AS16-108-17628|||EVA-2, station 6, sample 339 soil|NASA
146:18:27|AS16-108-17629|||EVA-2, station 6, sample 339 soil|NASA
146:20:35|AS16-108-17630|||EVA-2, station 6, sample 409 rock|NASA
146:20:55|AS16-108-17631|||EVA-2, station 6, sample 409 rock|NASA
146:22:41|AS16-108-17632|||EVA-2, station 6, sample 410 rock|NASA
146:22:44|AS16-108-17633|||EVA-2, station 6, sample 410 rock|NASA
146:29:55|AS16-108-17634|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:30:00|AS16-108-17635|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:30:14|AS16-108-17636|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:30:25|AS16-108-17637|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:30:49|AS16-108-17638|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:31:17|AS16-108-17639|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:31:44|AS16-108-17640|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:31:53|AS16-108-17641|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:32:09|AS16-108-17642|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:32:29|AS16-108-17643|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:32:31|AS16-108-17644|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:32:56|AS16-108-17645|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:33:25|AS16-108-17646|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:33:57|AS16-108-17647|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:34:05|AS16-108-17648|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:34:19|AS16-108-17649|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:34:35|AS16-108-17650|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:34:57|AS16-108-17651|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:35:07|AS16-108-17652|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:35:22|AS16-108-17653|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:35:44|AS16-108-17654|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:37:26|AS16-108-17655|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:37:38|AS16-108-17656|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:38:08|AS16-108-17657|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:38:25|AS16-108-17658|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:38:46|AS16-108-17659|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:39:08|AS16-108-17660|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:39:30|AS16-108-17661|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:39:46|AS16-108-17662|||EVA-2, LRV traverse, station 6 to station 8|NASA
146:43:26|AS16-108-17663|||EVA-2, station 8, pan|NASA
146:43:29|AS16-108-17664|||EVA-2, station 8, pan|NASA
146:43:31|AS16-108-17665|||EVA-2, station 8, pan|NASA
146:43:33|AS16-108-17666|||EVA-2, station 8, pan|NASA
146:43:35|AS16-108-17667|||EVA-2, station 8, pan|NASA
146:43:38|AS16-108-17668|||EVA-2, station 8, pan|NASA
146:43:40|AS16-108-17669|||EVA-2, station 8, pan|NASA
146:43:42|AS16-108-17670|||EVA-2, station 8, pan|NASA
146:43:44|AS16-108-17671|||EVA-2, station 8, pan|NASA
146:43:47|AS16-108-17672|||EVA-2, station 8, pan|NASA
146:43:49|AS16-108-17673|||EVA-2, station 8, pan|NASA
146:43:51|AS16-108-17674|||EVA-2, station 8, pan|NASA
146:43:53|AS16-108-17675|||EVA-2, station 8, pan|NASA
146:43:55|AS16-108-17676|||EVA-2, station 8, pan|NASA
146:43:58|AS16-108-17677|||EVA-2, station 8, pan|NASA
146:44:00|AS16-108-17678|||EVA-2, station 8, pan|NASA
146:44:02|AS16-108-17679|||EVA-2, station 8, pan|NASA
146:44:05|AS16-108-17680|||EVA-2, station 8, pan|NASA
146:44:07|AS16-108-17681|||EVA-2, station 8, pan|NASA
146:49:20|AS16-108-17682|||EVA-2, station 8, double core, upper 29, lower 36|NASA
146:49:23|AS16-108-17683|||EVA-2, station 8, double core, upper 29, lower 36|NASA
146:52:19|AS16-108-17684|||EVA-2, station 8, double core, upper 29, lower 36|NASA
146:52:21|AS16-108-17685|||EVA-2, station 8, double core, upper 29, lower 36|NASA
146:55:13|AS16-108-17686|||EVA-2, station 8, double core, upper 29, lower 36|NASA
147:08:05|AS16-108-17687|||EVA-2, station 8, samples 340 rock, 374 soil|NASA
147:08:07|AS16-108-17688|||EVA-2, station 8, samples 340 rock, 374 soil|NASA
147:08:10|AS16-108-17689|||EVA-2, station 8, samples 340 rock, 374 soil|NASA
147:08:12|AS16-108-17690|||EVA-2, station 8, samples 340 rock, 374 soil|NASA
147:08:18|AS16-108-17691|||EVA-2, station 8, samples 340 rock, 374 soil|NASA
147:08:21|AS16-108-17692|||EVA-2, station 8, samples 340 rock, 374 soil|NASA
147:11:02|AS16-108-17693|||EVA-2, station 8, stereo of boulder|NASA
147:11:04|AS16-108-17694|||EVA-2, station 8, stereo of boulder|NASA
147:11:08|AS16-108-17695|||EVA-2, station 8, stereo of boulder|NASA
147:11:11|AS16-108-17696|||EVA-2, station 8, stereo of boulder|NASA
147:16:51|AS16-108-17697|||EVA-2, station 8, samples 341 rock, 342 soil|NASA
147:18:44|AS16-108-17698|||EVA-2, station 8, samples 341 rock, 342 soil|NASA
147:22:28|AS16-108-17699|||EVA-2, station 8, samples 343 rock, 375 soil, football size rock 6|NASA
147:22:31|AS16-108-17700|||EVA-2, station 8, samples 343 rock, 375 soil, football size rock 6|NASA
147:24:59|AS16-108-17701|||EVA-2, station 8, samples 343 rock, 375 soil, football size rock 6|NASA
147:30:48|AS16-108-17702|||EVA-2, station 8, sample 344 scoop|NASA
147:48:28|AS16-108-17703|||EVA-2, LRV traverse station 8 to station 9|NASA
147:48:40|AS16-108-17704|||EVA-2, LRV traverse station 8 to station 9|NASA
147:49:16|AS16-108-17705|||EVA-2, LRV traverse station 8 to station 9|NASA
147:49:26|AS16-108-17706|||EVA-2, LRV traverse station 8 to station 9|NASA
147:49:50|AS16-108-17707|||EVA-2, LRV traverse station 8 to station 9|NASA
147:49:57|AS16-108-17708|||EVA-2, LRV traverse station 8 to station 9|NASA
147:50:08|AS16-108-17709|||EVA-2, LRV traverse station 8 to station 9|NASA
147:50:19|AS16-108-17710|||EVA-2, LRV traverse station 8 to station 9|NASA
147:50:32|AS16-108-17711|||EVA-2, LRV traverse station 8 to station 9|NASA
147:50:38|AS16-108-17712|||EVA-2, LRV traverse station 8 to station 9|NASA
147:51:00|AS16-108-17713|||EVA-2, LRV traverse station 8 to station 9|NASA
147:55:44|AS16-108-17714|||EVA-2, station 9, pan|NASA
147:55:46|AS16-108-17715|||EVA-2, station 9, pan|NASA
147:55:48|AS16-108-17716|||EVA-2, station 9, pan|NASA
147:55:50|AS16-108-17717|||EVA-2, station 9, pan|NASA
147:55:52|AS16-108-17718|||EVA-2, station 9, pan|NASA
147:55:55|AS16-108-17719|||EVA-2, station 9, pan|NASA
147:55:57|AS16-108-17720|||EVA-2, station 9, pan|NASA
147:55:59|AS16-108-17721|||EVA-2, station 9, pan|NASA
147:56:01|AS16-108-17722|||EVA-2, station 9, pan|NASA
147:56:03|AS16-108-17723|||EVA-2, station 9, pan|NASA
147:56:06|AS16-108-17724|||EVA-2, station 9, pan|NASA
147:56:08|AS16-108-17725|||EVA-2, station 9, pan|NASA
147:56:10|AS16-108-17726|||EVA-2, station 9, pan|NASA
147:56:12|AS16-108-17727|||EVA-2, station 9, pan|NASA
147:56:14|AS16-108-17728|||EVA-2, station 9, pan|NASA
147:56:17|AS16-108-17729|||EVA-2, station 9, pan|NASA
147:56:19|AS16-108-17730|||EVA-2, station 9, pan|NASA
147:56:21|AS16-108-17731|||EVA-2, station 9, pan|NASA
147:56:24|AS16-108-17732|||EVA-2, station 9, pan|NASA
147:56:26|AS16-108-17733|||EVA-2, station 9, pan|NASA
