052:35:15|AS16-131-20127|||(UV) Earth, 2650A|NASA
052:35:20|AS16-131-20128|||(UV) Earth, 3750A|NASA
052:35:25|AS16-131-20129|||(UV) Earth, 3750A|NASA
052:35:30|AS16-131-20130|||(UV) Earth, 4000A|NASA
052:35:35|AS16-131-20131|||(UV) Earth, 4000A|NASA
068:21:00|AS16-118-18891|||Earth|NASA
068:23:30|AS16-118-18892|||Attempted photograph of the Moon|NASA
075:07:00|AS16-120-19185|||Behaim, Hecataeus, Humboldt|NASA
076:34:36|AS16-124-19822|||West rim of Lebedinsky|NASA
076:34:43|AS16-124-19824|||Congreve|NASA
076:34:44|AS16-124-19823|||Congreve|NASA
076:35:07|AS16-124-19826|||Icarus|NASA
076:48:00|AS16-120-19186|||Mare Moscoviense|NASA
076:59:05|AS16-120-19187|||Earthrise, north wall of Saha, South rim of Saenger|NASA
077:32:49|AS16-124-19827|||Taylor, Alfraganus|NASA
077:32:52|AS16-124-19828|||Taylor, Alfraganus|NASA
077:32:56|AS16-124-19829|||Zollner, Apollo 16 landing site (in shadow)|NASA
077:33:00|AS16-124-19830|||Kant, G, Apollo 16 landing site (in shadow)|NASA
077:33:03|AS16-124-19831|||Kant, D, Descartes|NASA
077:34:50|AS16-124-19825|||South of Lebedinsky|NASA
078:57:03|AS16-120-19188|||East wall Of Chaplygin|NASA
078:57:07|AS16-120-19189|||East wall Of Chaplygin|NASA
079:09:24|AS16-120-19190|||South Of Guyot|NASA
079:09:47|AS16-120-19191|||Saenger|NASA
079:14:12|AS16-120-19192|||South Of Erro|NASA
094:51:14|AS16-124-19832|||Apollo 16 landing site (partial)|NASA
096:16:02|AS16-113-18279|||CSM viewed from LM, west rim of Abu Wafa|NASA
096:16:08|AS16-113-18280|||CSM viewed from LM, west rim of Abu Wafa|NASA
096:16:17|AS16-113-18281|||CSM viewed from LM, Buisson Y & Z|NASA
096:16:20|AS16-113-18282|||CSM viwed from LM, north of Buisson|NASA
096:16:23|AS16-113-18283|||CSM viwed from LM, north of Buisson|NASA
